task,model,condition,seed,family,gold_label,pred_label,count,source_file
medmcqa,qwen05b,full45k,44,self_update,C,D,31,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,D,A,53,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,D,B,42,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,D,C,25,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,D,D,71,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medqa,qwen05b,full45k,42,self_update,A,A,118,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,A,B,105,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,A,C,69,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,A,D,61,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,B,A,50,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,B,B,158,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,B,C,55,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,B,D,46,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,C,A,67,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,C,B,97,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,C,C,128,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,C,D,54,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,D,A,64,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,D,B,87,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,D,C,55,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,D,D,59,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,A,A,153,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,A,B,79,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,A,C,71,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,A,D,50,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,B,A,70,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,B,B,134,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,B,C,65,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,B,D,40,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,C,A,77,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,C,B,69,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,C,C,146,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,C,D,54,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,D,A,70,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,D,B,68,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,D,C,58,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,D,D,69,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,A,A,131,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,A,B,95,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,A,C,81,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,A,D,46,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,B,A,50,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,B,B,160,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,B,C,60,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,B,D,39,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,C,A,66,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,C,B,83,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,C,C,151,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,C,D,46,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,D,A,51,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,D,B,79,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,D,C,57,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,D,D,78,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
pubmedqa,qwen15b,base,,frozen_baseline,yes,yes,54,runs/qwen15b_base_pubmedqa_test100.jsonl
pubmedqa,qwen15b,base,,frozen_baseline,yes,no,2,runs/qwen15b_base_pubmedqa_test100.jsonl
pubmedqa,qwen15b,base,,frozen_baseline,yes,maybe,0,runs/qwen15b_base_pubmedqa_test100.jsonl
pubmedqa,qwen15b,base,,frozen_baseline,no,yes,23,runs/qwen15b_base_pubmedqa_test100.jsonl
pubmedqa,qwen15b,base,,frozen_baseline,no,no,7,runs/qwen15b_base_pubmedqa_test100.jsonl
pubmedqa,qwen15b,base,,frozen_baseline,no,maybe,4,runs/qwen15b_base_pubmedqa_test100.jsonl
pubmedqa,qwen15b,base,,frozen_baseline,maybe,yes,8,runs/qwen15b_base_pubmedqa_test100.jsonl
pubmedqa,qwen15b,base,,frozen_baseline,maybe,no,1,runs/qwen15b_base_pubmedqa_test100.jsonl
pubmedqa,qwen15b,base,,frozen_baseline,maybe,maybe,1,runs/qwen15b_base_pubmedqa_test100.jsonl
medmcqa,qwen15b,base,,frozen_baseline,A,A,155,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,A,B,73,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,A,C,41,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,A,D,54,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,B,A,66,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,B,B,127,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,B,C,36,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,B,D,38,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,C,A,49,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,C,B,54,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,C,C,90,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,C,D,26,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,D,A,36,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,D,B,42,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,D,C,49,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,D,D,64,runs/qwen15b_base_medmcqa_val1000.jsonl
medqa,qwen15b,base,,frozen_baseline,A,A,160,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,A,B,82,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,A,C,49,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,A,D,62,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,B,A,45,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,B,B,173,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,B,C,42,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,B,D,49,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,C,A,64,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,C,B,69,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,C,C,151,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,C,D,62,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,D,A,46,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,D,B,72,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,D,C,33,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,D,D,114,runs/qwen15b_base_medqa_test1273.jsonl
pubmedqa,qwen15b,full45k,42,self_update,yes,yes,44,runs/qwen15b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,42,self_update,yes,no,5,runs/qwen15b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,42,self_update,yes,maybe,7,runs/qwen15b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,42,self_update,no,yes,8,runs/qwen15b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,42,self_update,no,no,21,runs/qwen15b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,42,self_update,no,maybe,5,runs/qwen15b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,42,self_update,maybe,yes,6,runs/qwen15b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,42,self_update,maybe,no,1,runs/qwen15b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,42,self_update,maybe,maybe,3,runs/qwen15b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,43,self_update,yes,yes,41,runs/qwen15b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,43,self_update,yes,no,3,runs/qwen15b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,43,self_update,yes,maybe,12,runs/qwen15b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,43,self_update,no,yes,7,runs/qwen15b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,43,self_update,no,no,23,runs/qwen15b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,43,self_update,no,maybe,4,runs/qwen15b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,43,self_update,maybe,yes,2,runs/qwen15b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,43,self_update,maybe,no,2,runs/qwen15b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,43,self_update,maybe,maybe,6,runs/qwen15b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,44,self_update,yes,yes,44,runs/qwen15b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,44,self_update,yes,no,5,runs/qwen15b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,44,self_update,yes,maybe,7,runs/qwen15b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,44,self_update,no,yes,6,runs/qwen15b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,44,self_update,no,no,23,runs/qwen15b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,44,self_update,no,maybe,5,runs/qwen15b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,44,self_update,maybe,yes,5,runs/qwen15b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,44,self_update,maybe,no,3,runs/qwen15b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,44,self_update,maybe,maybe,2,runs/qwen15b_full45k_seed44_pubmedqa_test100.jsonl
medmcqa,qwen15b,full45k,42,self_update,A,A,207,runs/qwen15b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,42,self_update,A,B,53,runs/qwen15b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,42,self_update,A,C,28,runs/qwen15b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,42,self_update,A,D,35,runs/qwen15b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,42,self_update,B,A,77,runs/qwen15b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,42,self_update,B,B,139,runs/qwen15b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,42,self_update,B,C,23,runs/qwen15b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,42,self_update,B,D,28,runs/qwen15b_full45k_seed42_medmcqa_val1000.jsonl
