task,model,condition,seed,family,label,support,pred_count,tp,fp,fn,precision,recall,f1,source_file
medmcqa,qwen05b,full45k,42,self_update,D,191,183,62,121,129,0.33879781420765026,0.32460732984293195,0.3315508021390375,runs/qwen05b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,A,323,432,200,232,123,0.46296296296296297,0.6191950464396285,0.5298013245033113,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,B,267,244,94,150,173,0.38524590163934425,0.352059925093633,0.3679060665362035,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,C,219,161,74,87,145,0.45962732919254656,0.3378995433789954,0.3894736842105263,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,43,self_update,D,191,163,64,99,127,0.39263803680981596,0.33507853403141363,0.3615819209039548,runs/qwen05b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,A,323,372,181,191,142,0.48655913978494625,0.5603715170278638,0.520863309352518,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,B,267,291,103,188,164,0.3539518900343643,0.3857677902621723,0.36917562724014336,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,C,219,167,74,93,145,0.4431137724550898,0.3378995433789954,0.38341968911917096,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen05b,full45k,44,self_update,D,191,170,71,99,120,0.4176470588235294,0.3717277486910995,0.39335180055401664,runs/qwen05b_full45k_seed44_medmcqa_val1000.jsonl
medqa,qwen05b,full45k,42,self_update,A,353,299,118,181,235,0.39464882943143814,0.3342776203966006,0.3619631901840491,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,B,309,447,158,289,151,0.3534675615212528,0.511326860841424,0.417989417989418,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,C,346,307,128,179,218,0.4169381107491857,0.3699421965317919,0.3920367534456355,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,42,self_update,D,265,220,59,161,206,0.2681818181818182,0.22264150943396227,0.24329896907216494,runs/qwen05b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,A,353,370,153,217,200,0.4135135135135135,0.43342776203966005,0.42323651452282157,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,B,309,350,134,216,175,0.38285714285714284,0.4336569579288026,0.40667678300455234,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,C,346,340,146,194,200,0.4294117647058823,0.42196531791907516,0.42565597667638483,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,43,self_update,D,265,213,69,144,196,0.323943661971831,0.26037735849056604,0.2887029288702929,runs/qwen05b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,A,353,298,131,167,222,0.4395973154362416,0.37110481586402266,0.40245775729646693,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,B,309,417,160,257,149,0.38369304556354916,0.517799352750809,0.44077134986225897,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,C,346,349,151,198,195,0.4326647564469914,0.43641618497109824,0.4345323741007194,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen05b,full45k,44,self_update,D,265,209,78,131,187,0.37320574162679426,0.2943396226415094,0.3291139240506329,runs/qwen05b_full45k_seed44_medqa_test1273.jsonl
pubmedqa,qwen15b,base,,frozen_baseline,yes,56,85,54,31,2,0.6352941176470588,0.9642857142857143,0.7659574468085105,runs/qwen15b_base_pubmedqa_test100.jsonl
pubmedqa,qwen15b,base,,frozen_baseline,no,34,10,7,3,27,0.7,0.20588235294117646,0.3181818181818182,runs/qwen15b_base_pubmedqa_test100.jsonl
pubmedqa,qwen15b,base,,frozen_baseline,maybe,10,5,1,4,9,0.2,0.1,0.13333333333333333,runs/qwen15b_base_pubmedqa_test100.jsonl
medmcqa,qwen15b,base,,frozen_baseline,A,323,306,155,151,168,0.5065359477124183,0.47987616099071206,0.492845786963434,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,B,267,296,127,169,140,0.42905405405405406,0.4756554307116105,0.45115452930728245,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,C,219,216,90,126,129,0.4166666666666667,0.410958904109589,0.41379310344827586,runs/qwen15b_base_medmcqa_val1000.jsonl
medmcqa,qwen15b,base,,frozen_baseline,D,191,182,64,118,127,0.3516483516483517,0.33507853403141363,0.3431635388739947,runs/qwen15b_base_medmcqa_val1000.jsonl
medqa,qwen15b,base,,frozen_baseline,A,353,315,160,155,193,0.5079365079365079,0.45325779036827196,0.47904191616766467,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,B,309,396,173,223,136,0.43686868686868685,0.5598705501618123,0.4907801418439716,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,C,346,275,151,124,195,0.5490909090909091,0.43641618497109824,0.4863123993558776,runs/qwen15b_base_medqa_test1273.jsonl
medqa,qwen15b,base,,frozen_baseline,D,265,287,114,173,151,0.397212543554007,0.43018867924528303,0.41304347826086957,runs/qwen15b_base_medqa_test1273.jsonl
pubmedqa,qwen15b,full45k,42,self_update,yes,56,58,44,14,12,0.7586206896551724,0.7857142857142857,0.7719298245614034,runs/qwen15b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,42,self_update,no,34,27,21,6,13,0.7777777777777778,0.6176470588235294,0.6885245901639345,runs/qwen15b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,42,self_update,maybe,10,15,3,12,7,0.2,0.3,0.24,runs/qwen15b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,43,self_update,yes,56,50,41,9,15,0.82,0.7321428571428571,0.7735849056603773,runs/qwen15b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,43,self_update,no,34,28,23,5,11,0.8214285714285714,0.6764705882352942,0.7419354838709677,runs/qwen15b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,43,self_update,maybe,10,22,6,16,4,0.2727272727272727,0.6,0.37499999999999994,runs/qwen15b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,44,self_update,yes,56,55,44,11,12,0.8,0.7857142857142857,0.7927927927927927,runs/qwen15b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,44,self_update,no,34,31,23,8,11,0.7419354838709677,0.6764705882352942,0.7076923076923077,runs/qwen15b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen15b,full45k,44,self_update,maybe,10,14,2,12,8,0.14285714285714285,0.2,0.16666666666666666,runs/qwen15b_full45k_seed44_pubmedqa_test100.jsonl
medmcqa,qwen15b,full45k,42,self_update,A,323,377,207,170,116,0.5490716180371353,0.6408668730650154,0.5914285714285714,runs/qwen15b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,42,self_update,B,267,261,139,122,128,0.5325670498084292,0.5205992509363296,0.5265151515151515,runs/qwen15b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,42,self_update,C,219,186,105,81,114,0.5645161290322581,0.4794520547945205,0.5185185185185185,runs/qwen15b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,42,self_update,D,191,176,87,89,104,0.4943181818181818,0.45549738219895286,0.47411444141689374,runs/qwen15b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,43,self_update,A,323,371,211,160,112,0.568733153638814,0.653250773993808,0.6080691642651297,runs/qwen15b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,43,self_update,B,267,255,143,112,124,0.5607843137254902,0.5355805243445693,0.5478927203065134,runs/qwen15b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,43,self_update,C,219,190,108,82,111,0.5684210526315789,0.4931506849315068,0.5281173594132029,runs/qwen15b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,43,self_update,D,191,184,89,95,102,0.483695652173913,0.46596858638743455,0.4746666666666666,runs/qwen15b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,44,self_update,A,323,361,200,161,123,0.554016620498615,0.6191950464396285,0.584795321637427,runs/qwen15b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,44,self_update,B,267,267,138,129,129,0.5168539325842697,0.5168539325842697,0.5168539325842697,runs/qwen15b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,44,self_update,C,219,199,108,91,111,0.542713567839196,0.4931506849315068,0.5167464114832536,runs/qwen15b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen15b,full45k,44,self_update,D,191,173,82,91,109,0.47398843930635837,0.4293193717277487,0.45054945054945056,runs/qwen15b_full45k_seed44_medmcqa_val1000.jsonl
medqa,qwen15b,full45k,42,self_update,A,353,313,179,134,174,0.5718849840255591,0.5070821529745042,0.5375375375375375,runs/qwen15b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen15b,full45k,42,self_update,B,309,355,170,185,139,0.4788732394366197,0.5501618122977346,0.5120481927710844,runs/qwen15b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen15b,full45k,42,self_update,C,346,342,202,140,144,0.5906432748538012,0.5838150289017341,0.5872093023255814,runs/qwen15b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen15b,full45k,42,self_update,D,265,263,121,142,144,0.4600760456273764,0.45660377358490567,0.45833333333333337,runs/qwen15b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen15b,full45k,43,self_update,A,353,338,196,142,157,0.5798816568047337,0.5552407932011332,0.5672937771345876,runs/qwen15b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen15b,full45k,43,self_update,B,309,340,178,162,131,0.5235294117647059,0.5760517799352751,0.5485362095531588,runs/qwen15b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen15b,full45k,43,self_update,C,346,348,198,150,148,0.5689655172413793,0.5722543352601156,0.5706051873198847,runs/qwen15b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen15b,full45k,43,self_update,D,265,247,124,123,141,0.5020242914979757,0.4679245283018868,0.484375,runs/qwen15b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen15b,full45k,44,self_update,A,353,315,175,140,178,0.5555555555555556,0.49575070821529743,0.5239520958083832,runs/qwen15b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen15b,full45k,44,self_update,B,309,357,178,179,131,0.49859943977591037,0.5760517799352751,0.5345345345345346,runs/qwen15b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen15b,full45k,44,self_update,C,346,360,200,160,146,0.5555555555555556,0.5780346820809249,0.5665722379603398,runs/qwen15b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen15b,full45k,44,self_update,D,265,241,122,119,143,0.5062240663900415,0.46037735849056605,0.48221343873517786,runs/qwen15b_full45k_seed44_medqa_test1273.jsonl
pubmedqa,qwen3b,base,,frozen_baseline,yes,56,7,6,1,50,0.8571428571428571,0.10714285714285714,0.19047619047619047,runs/qwen3b_base_pubmedqa_test100.jsonl
pubmedqa,qwen3b,base,,frozen_baseline,no,34,12,8,4,26,0.6666666666666666,0.23529411764705882,0.3478260869565218,runs/qwen3b_base_pubmedqa_test100.jsonl
pubmedqa,qwen3b,base,,frozen_baseline,maybe,10,81,9,72,1,0.1111111111111111,0.9,0.1978021978021978,runs/qwen3b_base_pubmedqa_test100.jsonl
medmcqa,qwen3b,base,,frozen_baseline,A,323,291,169,122,154,0.5807560137457045,0.5232198142414861,0.5504885993485342,runs/qwen3b_base_medmcqa_val1000.jsonl
medmcqa,qwen3b,base,,frozen_baseline,B,267,271,130,141,137,0.4797047970479705,0.4868913857677903,0.483271375464684,runs/qwen3b_base_medmcqa_val1000.jsonl
medmcqa,qwen3b,base,,frozen_baseline,C,219,163,92,71,127,0.5644171779141104,0.4200913242009132,0.4816753926701571,runs/qwen3b_base_medmcqa_val1000.jsonl
medmcqa,qwen3b,base,,frozen_baseline,D,191,275,99,176,92,0.36,0.518324607329843,0.424892703862661,runs/qwen3b_base_medmcqa_val1000.jsonl
medqa,qwen3b,base,,frozen_baseline,A,353,304,166,138,187,0.5460526315789473,0.4702549575070821,0.5053272450532723,runs/qwen3b_base_medqa_test1273.jsonl
medqa,qwen3b,base,,frozen_baseline,B,309,349,167,182,142,0.4785100286532951,0.540453074433657,0.5075987841945289,runs/qwen3b_base_medqa_test1273.jsonl
medqa,qwen3b,base,,frozen_baseline,C,346,290,165,125,181,0.5689655172413793,0.476878612716763,0.518867924528302,runs/qwen3b_base_medqa_test1273.jsonl
medqa,qwen3b,base,,frozen_baseline,D,265,330,134,196,131,0.40606060606060607,0.5056603773584906,0.4504201680672269,runs/qwen3b_base_medqa_test1273.jsonl
pubmedqa,qwen3b,full45k,42,self_update,yes,56,46,38,8,18,0.8260869565217391,0.6785714285714286,0.7450980392156864,runs/qwen3b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen3b,full45k,42,self_update,no,34,30,19,11,15,0.6333333333333333,0.5588235294117647,0.59375,runs/qwen3b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen3b,full45k,42,self_update,maybe,10,24,4,20,6,0.16666666666666666,0.4,0.23529411764705882,runs/qwen3b_full45k_seed42_pubmedqa_test100.jsonl
pubmedqa,qwen3b,full45k,43,self_update,yes,56,48,39,9,17,0.8125,0.6964285714285714,0.75,runs/qwen3b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen3b,full45k,43,self_update,no,34,30,21,9,13,0.7,0.6176470588235294,0.65625,runs/qwen3b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen3b,full45k,43,self_update,maybe,10,22,7,15,3,0.3181818181818182,0.7,0.4375,runs/qwen3b_full45k_seed43_pubmedqa_test100.jsonl
pubmedqa,qwen3b,full45k,44,self_update,yes,56,51,40,11,16,0.7843137254901961,0.7142857142857143,0.7476635514018691,runs/qwen3b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen3b,full45k,44,self_update,no,34,31,20,11,14,0.6451612903225806,0.5882352941176471,0.6153846153846154,runs/qwen3b_full45k_seed44_pubmedqa_test100.jsonl
pubmedqa,qwen3b,full45k,44,self_update,maybe,10,18,5,13,5,0.2777777777777778,0.5,0.35714285714285715,runs/qwen3b_full45k_seed44_pubmedqa_test100.jsonl
medmcqa,qwen3b,full45k,42,self_update,A,323,345,214,131,109,0.6202898550724638,0.6625386996904025,0.6407185628742516,runs/qwen3b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen3b,full45k,42,self_update,B,267,284,152,132,115,0.5352112676056338,0.5692883895131086,0.5517241379310345,runs/qwen3b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen3b,full45k,42,self_update,C,219,206,121,85,98,0.587378640776699,0.5525114155251142,0.5694117647058823,runs/qwen3b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen3b,full45k,42,self_update,D,191,165,96,69,95,0.5818181818181818,0.5026178010471204,0.5393258426966293,runs/qwen3b_full45k_seed42_medmcqa_val1000.jsonl
medmcqa,qwen3b,full45k,43,self_update,A,323,349,211,138,112,0.6045845272206304,0.653250773993808,0.6279761904761906,runs/qwen3b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen3b,full45k,43,self_update,B,267,266,145,121,122,0.5451127819548872,0.5430711610486891,0.5440900562851781,runs/qwen3b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen3b,full45k,43,self_update,C,219,200,122,78,97,0.61,0.5570776255707762,0.5823389021479713,runs/qwen3b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen3b,full45k,43,self_update,D,191,185,103,82,88,0.5567567567567567,0.5392670157068062,0.5478723404255319,runs/qwen3b_full45k_seed43_medmcqa_val1000.jsonl
medmcqa,qwen3b,full45k,44,self_update,A,323,359,219,140,104,0.6100278551532033,0.6780185758513931,0.6422287390029325,runs/qwen3b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen3b,full45k,44,self_update,B,267,278,151,127,116,0.5431654676258992,0.5655430711610487,0.5541284403669725,runs/qwen3b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen3b,full45k,44,self_update,C,219,192,120,72,99,0.625,0.547945205479452,0.583941605839416,runs/qwen3b_full45k_seed44_medmcqa_val1000.jsonl
medmcqa,qwen3b,full45k,44,self_update,D,191,171,96,75,95,0.5614035087719298,0.5026178010471204,0.5303867403314916,runs/qwen3b_full45k_seed44_medmcqa_val1000.jsonl
medqa,qwen3b,full45k,42,self_update,A,353,317,197,120,156,0.6214511041009464,0.5580736543909348,0.5880597014925374,runs/qwen3b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen3b,full45k,42,self_update,B,309,354,183,171,126,0.5169491525423728,0.5922330097087378,0.5520361990950226,runs/qwen3b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen3b,full45k,42,self_update,C,346,332,203,129,143,0.6114457831325302,0.5867052023121387,0.5988200589970502,runs/qwen3b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen3b,full45k,42,self_update,D,265,270,136,134,129,0.5037037037037037,0.5132075471698113,0.5084112149532709,runs/qwen3b_full45k_seed42_medqa_test1273.jsonl
medqa,qwen3b,full45k,43,self_update,A,353,352,212,140,141,0.6022727272727273,0.6005665722379604,0.601418439716312,runs/qwen3b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen3b,full45k,43,self_update,B,309,341,178,163,131,0.5219941348973607,0.5760517799352751,0.5476923076923077,runs/qwen3b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen3b,full45k,43,self_update,C,346,319,196,123,150,0.6144200626959248,0.5664739884393064,0.5894736842105264,runs/qwen3b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen3b,full45k,43,self_update,D,265,261,132,129,133,0.5057471264367817,0.4981132075471698,0.5019011406844106,runs/qwen3b_full45k_seed43_medqa_test1273.jsonl
medqa,qwen3b,full45k,44,self_update,A,353,329,199,130,154,0.6048632218844985,0.5637393767705382,0.5835777126099707,runs/qwen3b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen3b,full45k,44,self_update,B,309,363,187,176,122,0.5151515151515151,0.6051779935275081,0.5565476190476191,runs/qwen3b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen3b,full45k,44,self_update,C,346,332,204,128,142,0.6144578313253012,0.5895953757225434,0.6017699115044247,runs/qwen3b_full45k_seed44_medqa_test1273.jsonl
medqa,qwen3b,full45k,44,self_update,D,265,249,133,116,132,0.5341365461847389,0.5018867924528302,0.5175097276264591,runs/qwen3b_full45k_seed44_medqa_test1273.jsonl
